employee_id,full_name,gender,age,hire_date,department_id,job_role_id,salary_egp,manager_id,commute_distance_km,commute_category,status,end_date,tenure_years,phone_number,total_working_years,years_since_last_promotion,overtime,leave_balance,role_fit_score
EMP-0014,Khaled El-Masry,Male,30,2025-05-01,7,20,8600,EMP-0043,1.8,Near,Active,,0.67,01013874790,1,0,No,10,73.3
EMP-0015,Khaled El-Masry,Male,38,2025-03-22,7,20,12700,EMP-0076,13.0,Medium,Active,,0.78,01594560158,11,0,Yes,4,55.8
EMP-0016,Hossam Ragab,Male,33,2025-06-16,7,20,9800,EMP-0141,16.1,Medium,Active,,0.55,01291721371,5,0,Yes,3,71.7
EMP-0017,Adel Soliman,Male,46,2024-03-10,2,8,18700,EMP-0115,2.6,Near,Inactive,2025-10-05,1.57,01542117961,16,1,Yes,5,53.3
EMP-0018,Ayman El-Banna,Male,35,2024-12-21,1,4,22500,EMP-0004,7.3,Near,Active,,1.03,01131257157,6,1,Yes,13,57.5
EMP-0019,Ali Mostafa,Male,36,2024-02-23,1,7,10900,EMP-0052,8.9,Near,Inactive,2024-08-30,0.52,01051708177,12,0,Yes,21,67.5
EMP-0020,Omar Gaber,Male,37,2024-09-10,7,20,7000,EMP-0100,7.0,Near,Active,,1.31,01183932360,6,0,No,18,64.2
EMP-0021,Ahmed Hafez,Male,43,2023-01-01,1,3,18900,EMP-0193,2.7,Near,Active,,3.0,01211835355,20,2,No,8,100.0
EMP-0022,Sameh Fouad,Male,43,2025-03-16,2,10,19400,EMP-0115,8.1,Near,Active,,0.8,01284121929,17,0,No,11,47.5
EMP-0023,Mostafa Shalaby,Male,41,2023-09-02,1,4,19500,EMP-0057,19.1,Medium,Active,,2.33,01264759583,14,0,No,10,77.5
EMP-0024,Maged Shalaby,Male,22,2025-04-22,3,11,12500,EMP-0155,2.0,Near,Inactive,2025-08-15,0.32,01122510327,2,0,No,13,46.7
EMP-0025,Hossam Radwan,Male,31,2024-05-05,7,20,12400,EMP-0134,2.1,Near,Inactive,2025-08-10,1.27,01540158811,7,0,Yes,15,54.2
EMP-0026,Mona Ibrahim,Female,29,2025-06-09,7,20,7000,EMP-0154,6.7,Near,Active,,0.56,01125228493,4,0,Yes,0,45.8
EMP-0027,Amr Tawfik,Male,39,2024-01-11,1,4,20100,EMP-0182,38.0,Far,Active,,1.98,01071934487,15,1,No,12,80.0
EMP-0028,Hesham Sherif,Male,22,2024-12-28,7,21,26400,EMP-0154,15.4,Medium,Inactive,2025-05-15,0.38,01525766039,2,0,Yes,20,32.9
EMP-0029,Walid Fouad,Male,23,2024-03-09,3,12,21100,EMP-0158,15.8,Medium,Active,,1.82,01296934122,2,1,No,20,45.8
EMP-0030,Mohamed Ragab,Male,22,2025-04-29,1,6,25700,EMP-0115,6.8,Near,Inactive,2025-09-12,0.37,01130665654,1,0,No,12,42.5
EMP-0031,Ahmed Shawky,Male,22,2023-01-12,5,16,17700,EMP-0130,12.7,Medium,Active,,2.97,01276890827,3,0,No,1,80.0
EMP-0032,Sherif El-Banna,Male,30,2023-05-29,2,9,30600,EMP-0193,1.1,Near,Inactive,2023-11-12,0.46,01249172995,4,0,Yes,3,40.6
EMP-0033,Ahmed El-Sayed,Male,34,2024-08-17,1,7,11600,EMP-0115,14.1,Medium,Active,,1.38,01078299645,11,1,No,5,82.5
EMP-0034,Rasha El-Shafei,Female,22,2025-05-07,5,16,18900,EMP-0043,32.8,Far,Active,,0.65,01546698468,1,0,No,4,42.5
EMP-0035,Sahar Tawfik,Female,34,2025-01-25,1,4,24200,EMP-0115,13.3,Medium,Active,,0.93,01065766169,1,0,Yes,2,75.0
EMP-0036,Noura Hassan,Female,41,2025-06-17,1,6,20500,EMP-0134,27.9,Far,Inactive,2025-11-23,0.44,01074759996,3,0,No,0,42.5
EMP-0037,Ashraf El-Banna,Male,47,2024-06-13,2,8,18900,EMP-0048,17.7,Medium,Active,,1.55,01073380266,7,1,No,3,64.2
EMP-0038,Ashraf Fathy,Male,43,2024-03-15,1,4,23700,EMP-0100,2.7,Near,Active,,1.8,01242713008,6,0,No,19,72.5
EMP-0039,Rasha Radwan,Female,28,2024-08-07,2,8,19600,EMP-0064,31.3,Far,Active,,1.4,01071308842,6,0,Yes,1,57.5
EMP-0040,Hossam Ragab,Male,23,2025-06-19,3,11,9100,EMP-0043,1.9,Near,Active,,0.54,01083989546,1,0,No,4,46.7
EMP-0041,Hassan Hassan,Male,27,2023-12-28,5,17,9600,EMP-0137,10.9,Medium,Inactive,2025-08-06,1.61,01529413516,6,1,No,2,53.3
EMP-0042,Magdy Magdy,Male,28,2024-03-04,5,17,15100,EMP-0144,3.0,Near,Active,,1.83,01561484043,2,1,No,8,60.8
EMP-0043,Youssef Helal,Male,47,2025-05-11,6,19,36100,,1.2,Near,Active,,0.64,01035583290,17,0,Yes,19,34.8
EMP-0044,Manal Gaber,Female,35,2024-06-09,5,17,10800,EMP-0141,8.1,Near,Active,,1.56,01590447099,4,0,No,5,60.8
EMP-0045,Hossam Ragab,Male,47,2025-01-11,4,15,16900,EMP-0028,5.5,Near,Inactive,2025-04-11,0.25,01578214937,14,0,Yes,17,56.7
EMP-0046,Omar Shawky,Male,39,2025-02-15,1,4,21900,EMP-0141,9.7,Near,Active,,0.88,01028321839,12,0,No,5,65.0
EMP-0047,Ahmed Soliman,Male,36,2023-05-06,2,8,19100,EMP-0138,12.2,Medium,Active,,2.66,01219369750,12,0,Yes,18,86.7
EMP-0048,Ramy El-Banna,Male,23,2024-11-22,2,9,28700,EMP-0141,1.6,Near,Active,,1.11,01047077298,3,0,No,11,42.9
EMP-0049,Maged El-Masry,Male,31,2025-04-01,1,1,12300,EMP-0144,2.7,Near,Active,,0.75,01565692629,5,0,No,10,75.0
EMP-0050,Omar El-Banna,Male,44,2025-06-15,2,10,17100,EMP-0194,11.6,Medium,Active,,0.55,01255617282,18,0,No,1,42.5
EMP-0051,Dina Nasr,Female,33,2024-06-22,2,8,16500,EMP-0100,6.5,Near,Active,,1.53,01178147397,9,1,Yes,14,60.0
EMP-0052,Nour Sabry,Female,38,2025-03-04,6,19,34400,EMP-0130,18.0,Medium,Active,,0.83,01245859307,11,0,Yes,11,34.8
EMP-0053,Reem Rizk,Female,29,2024-11-15,8,22,8300,EMP-0028,14.7,Medium,Active,,1.13,01510344303,7,0,No,11,56.7
EMP-0054,Laila Sherif,Female,32,2024-02-10,3,11,8900,EMP-0143,25.3,Far,Active,,1.89,01247962005,3,0,No,8,80.8
EMP-0055,Hossam Helal,Male,24,2023-01-11,1,6,28300,EMP-0155,16.3,Medium,Inactive,2024-02-08,1.08,01050071487,2,1,Yes,20,55.8
EMP-0056,Dina El-Banna,Female,27,2025-01-31,1,1,13700,EMP-0194,8.3,Near,Inactive,2025-05-15,0.28,01188777447,2,0,No,1,65.0
EMP-0057,Sherif Shalaby,Male,30,2025-01-24,7,21,24300,,15.5,Medium,Active,,0.94,01187835998,9,0,No,21,27.9
EMP-0058,Maged Abdel-Rahman,Male,27,2024-05-01,7,21,21600,EMP-0028,5.2,Near,Active,,1.67,01198575748,4,1,No,2,47.5
EMP-0059,Walid Adel,Male,30,2023-07-29,1,4,15000,EMP-0150,5.8,Near,Active,,2.43,01575718414,4,1,No,11,82.5
EMP-0060,Mohamed Rizk,Male,28,2025-05-30,4,15,19300,EMP-0155,21.2,Medium,Inactive,2025-11-10,0.45,01529944139,7,0,No,15,35.8
EMP-0061,Ashraf Sherif,Male,30,2025-06-27,1,1,15200,EMP-0116,8.7,Near,Active,,0.52,01169934576,6,0,Yes,20,65.0
EMP-0062,Ahmed Magdy,Male,39,2025-06-26,1,3,15100,EMP-0093,21.8,Medium,Active,,0.52,01282287061,13,0,No,0,62.5
EMP-0063,Rana Shalaby,Female,33,2023-05-24,1,3,20300,EMP-0137,23.5,Medium,Active,,2.61,01175007200,6,0,No,20,80.0
EMP-0064,Adel Mostafa,Male,29,2023-10-27,1,5,37300,EMP-0141,26.3,Far,Inactive,2025-06-28,1.67,01256321751,3,0,Yes,2,37.8
EMP-0065,Kareem Barakat,Male,29,2024-01-24,8,22,8700,EMP-0144,33.3,Far,Inactive,2024-10-30,0.77,01254619335,2,0,No,19,46.7
EMP-0066,Hany Hassan,Male,39,2024-07-25,4,15,15600,EMP-0048,8.3,Near,Inactive,2024-11-26,0.34,01584077101,8,0,No,1,55.0
EMP-0067,Essam Nasr,Male,41,2023-07-22,1,7,12900,EMP-0194,6.0,Near,Active,,2.45,01282937948,20,1,No,8,80.0
EMP-0068,Nihal Nabil,Female,36,2025-01-02,5,17,9000,,12.3,Medium,Inactive,2025-05-02,0.33,01160628276,5,0,No,18,50.8
EMP-0069,Magdy Rizk,Male,28,2024-11-26,7,21,18300,EMP-0100,7.0,Near,Active,,1.1,01571115319,2,1,No,14,42.5
EMP-0070,Mariam Nasr,Female,32,2025-06-14,8,22,8900,EMP-0029,12.9,Medium,Active,,0.55,01053188224,7,0,No,17,58.3
EMP-0071,Noura Nabil,Female,41,2024-08-28,1,1,18400,EMP-0115,16.9,Medium,Active,,1.35,01035320492,9,1,Yes,10,77.5
EMP-0072,Wael El-Masry,Male,37,2025-02-03,1,7,11900,EMP-0028,16.2,Medium,Inactive,2025-05-24,0.3,01542051937,13,0,No,15,67.5
EMP-0073,Ali El-Banna,Male,25,2023-03-24,1,2,26000,EMP-0115,7.1,Near,Active,,2.78,01186745380,4,1,Yes,21,70.0
EMP-0074,Amal Hafez,Female,27,2025-06-04,1,6,21200,EMP-0057,3.4,Near,Active,,0.58,01061401477,6,0,No,16,42.5
EMP-0075,Amal Fathy,Female,47,2025-02-12,1,3,20300,EMP-0093,8.3,Near,Active,,0.88,01041348220,5,0,No,4,62.5
EMP-0076,Nada Barakat,Female,43,2024-06-25,4,14,23500,EMP-0116,3.0,Near,Active,,1.52,01265133300,16,0,No,11,32.1
EMP-0077,Hala Shawky,Female,47,2023-10-01,1,7,12500,EMP-0069,29.7,Far,Inactive,2024-11-15,1.13,01215858241,23,0,No,10,82.5
EMP-0078,Mohamed Abdel-Rahman,Male,24,2023-09-08,1,4,24500,EMP-0057,6.5,Near,Inactive,2025-01-15,1.36,01152704903,2,0,No,14,62.5
EMP-0079,Maged Sabry,Male,30,2025-01-16,1,4,23300,EMP-0069,3.2,Near,Inactive,2025-09-28,0.7,01573481797,2,0,No,2,57.5
EMP-0080,Hesham Tawfik,Male,31,2024-12-28,1,7,10100,EMP-0052,1.3,Near,Active,,1.01,01161167978,2,0,No,0,87.5
EMP-0081,Samar Rizk,Female,35,2025-01-09,1,4,23600,EMP-0133,14.5,Medium,Active,,0.98,01561818612,7,0,Yes,19,60.0
EMP-0082,Hesham Rizk,Male,32,2024-03-13,2,8,18600,EMP-0141,14.2,Medium,Active,,1.81,01099078806,8,1,No,15,50.8
EMP-0083,Hany Shalaby,Male,39,2024-10-03,1,1,17700,EMP-0076,6.4,Near,Inactive,2025-08-23,0.89,01297512508,11,0,No,1,65.0
EMP-0084,Ashraf Soliman,Male,43,2024-03-09,1,4,21400,,2.0,Near,Active,,1.82,01130415230,11,0,No,1,75.0
EMP-0085,Kareem Ibrahim,Male,33,2024-03-30,2,8,13600,EMP-0115,7.9,Near,Active,,1.76,01176481885,3,1,Yes,2,59.2
EMP-0086,Sherif Shalaby,Male,44,2024-01-25,4,13,11300,EMP-0133,5.8,Near,Inactive,2025-10-26,1.75,01514968688,19,1,Yes,7,52.5
EMP-0087,Rana Shawky,Female,33,2025-02-27,1,4,19700,EMP-0057,15.7,Medium,Inactive,2025-08-03,0.43,01526944487,1,0,Yes,14,57.5
EMP-0088,Youssef El-Masry,Male,34,2023-08-18,1,3,15600,EMP-0029,13.1,Medium,Inactive,2024-11-07,1.22,01177416376,11,1,Yes,6,72.5
EMP-0089,Salma Ragab,Female,46,2024-11-09,1,1,12700,EMP-0150,6.9,Near,Active,,1.15,01589212676,9,0,No,5,65.0
EMP-0090,Magdy Fathy,Male,34,2024-08-23,8,22,10200,EMP-0043,4.2,Near,Active,,1.36,01154559574,9,1,No,8,58.3
EMP-0091,Sameh El-Sayed,Male,40,2024-09-12,2,8,19700,EMP-0137,58.5,Far,Active,,1.3,01123470708,18,0,No,19,62.5
EMP-0092,Mariam Farouk,Female,47,2024-09-11,3,11,10200,,8.9,Near,Inactive,2025-09-14,1.01,01169096899,13,0,Yes,0,51.7
EMP-0093,Mona Nabil,Female,40,2023-05-25,7,21,22600,EMP-0171,16.2,Medium,Active,,2.61,01023383077,10,1,Yes,7,42.5
EMP-0094,Wael Radwan,Male,44,2024-07-07,1,1,16700,EMP-0139,3.0,Near,Active,,1.49,01580591959,15,1,Yes,2,75.0
EMP-0095,Hala Hassan,Female,35,2025-04-17,7,20,8900,EMP-0155,9.6,Near,Active,,0.71,01271327848,4,0,Yes,3,64.2
EMP-0096,Maged Sherif,Male,25,2024-02-03,3,11,13400,EMP-0150,1.4,Near,Active,,1.91,01212059919,2,0,Yes,14,81.7
EMP-0097,Wael Hafez,Male,34,2024-07-09,1,3,15000,EMP-0193,10.2,Medium,Inactive,2025-11-29,1.39,01529348212,2,1,Yes,5,72.5
EMP-0098,Amr Mansour,Male,29,2024-04-22,2,8,19000,EMP-0130,44.2,Far,Active,,1.7,01165026398,4,0,No,14,60.0
EMP-0099,Magdy Adel,Male,44,2024-12-30,5,17,14800,EMP-0194,7.3,Near,Active,,1.01,01297883261,17,1,No,20,60.8
EMP-0100,Mostafa Gaber,Male,42,2025-06-26,2,9,27900,EMP-0155,1.5,Near,Inactive,2025-10-11,0.29,01230718012,14,0,No,2,39.9
EMP-0101,Ayman Sabry,Male,44,2024-09-19,8,22,11200,EMP-0130,1.4,Near,Active,,1.28,01520043277,22,1,No,20,56.7
EMP-0102,Mostafa Shawky,Male,40,2025-06-26,1,7,16700,EMP-0115,7.4,Near,Active,,0.52,01273013961,16,0,No,20,67.5
EMP-0103,Hany Barakat,Male,33,2024-05-17,5,17,9200,EMP-0048,3.3,Near,Active,,1.63,01145570755,6,0,Yes,13,69.2
EMP-0104,Hany El-Sayed,Male,39,2024-12-23,1,7,14200,EMP-0154,1.3,Near,Inactive,2025-06-03,0.44,01555440919,9,0,Yes,19,67.5
EMP-0105,Marwa Ragab,Female,27,2023-07-23,7,20,12800,EMP-0155,19.3,Medium,Active,,2.45,01193652460,4,0,No,13,74.2
EMP-0106,Maged Sabry,Male,39,2025-06-04,3,11,9200,EMP-0141,9.0,Near,Active,,0.58,01263349308,2,0,Yes,3,46.7
EMP-0107,Ibrahim Fathy,Male,40,2024-09-27,1,1,18400,EMP-0171,5.4,Near,Inactive,2025-11-15,1.13,01297219599,19,0,No,11,77.5
EMP-0108,Shaimaa El-Masry,Female,43,2025-06-28,1,1,16800,EMP-0073,30.9,Far,Active,,0.51,01120779739,6,0,No,16,75.0
EMP-0109,Hany Rizk,Male,26,2024-04-04,1,3,19000,EMP-0138,2.6,Near,Active,,1.75,01054099326,4,0,No,6,100.0
EMP-0110,Ahmed Kamal,Male,45,2023-01-05,1,1,13800,EMP-0137,41.6,Far,Active,,2.99,01281621574,11,0,No,8,87.5
EMP-0111,Mohamed El-Banna,Male,30,2024-09-15,1,1,11900,EMP-0130,5.9,Near,Active,,1.3,01061003997,2,0,No,2,75.0
EMP-0112,Hesham Hafez,Male,24,2025-05-26,4,15,20300,EMP-0193,29.5,Far,Inactive,2025-11-13,0.47,01252501540,1,0,Yes,12,50.0
EMP-0113,Samar Sherif,Female,31,2024-02-15,2,10,20600,EMP-0048,13.0,Medium,Active,,1.88,01094127561,10,1,Yes,14,55.0
EMP-0114,Eman Ragab,Female,40,2025-04-17,5,17,11200,EMP-0144,23.8,Medium,Active,,0.71,01075491202,16,0,No,17,43.3
EMP-0115,Ahmed Hafez,Male,24,2024-09-09,7,21,16400,,54.8,Far,Inactive,2025-02-12,0.43,01082613940,1,0,No,18,32.9
EMP-0116,Manal Mostafa,Female,43,2023-07-23,3,12,23800,EMP-0171,5.4,Near,Active,,2.45,01114818295,11,1,Yes,0,51.7
EMP-0117,Rania Shalaby,Female,36,2024-04-05,5,16,17900,EMP-0028,43.2,Far,Active,,1.74,01092874006,6,0,No,5,61.0
EMP-0118,Maged Hassan,Male,22,2024-10-29,5,17,13500,EMP-0100,7.4,Near,Active,,1.18,01019183277,2,1,No,1,48.3
EMP-0119,Mai Rizk,Female,28,2024-06-14,1,7,12900,EMP-0115,7.3,Near,Active,,1.55,01041510328,2,0,No,13,67.5
EMP-0120,Adel Tawfik,Male,33,2023-09-22,1,4,21600,EMP-0139,6.4,Near,Active,,2.28,01294712997,6,0,No,5,65.0
EMP-0121,Rania Shalaby,Female,38,2025-03-01,1,3,12300,EMP-0193,11.1,Medium,Inactive,2025-06-18,0.3,01048571356,2,0,No,13,72.5
EMP-0122,Samar El-Shafei,Female,42,2024-01-12,1,4,20500,EMP-0137,3.2,Near,Active,,1.97,01240532691,7,0,No,3,80.0
EMP-0123,Hossam Shawky,Male,47,2024-08-15,1,4,27000,EMP-0155,11.5,Medium,Active,,1.38,01022130508,15,0,No,20,70.0
EMP-0124,Youssef Kamal,Male,45,2025-03-28,1,3,16300,EMP-0116,11.1,Medium,Inactive,2025-07-05,0.27,01068246664,4,0,Yes,7,62.5
EMP-0125,Ashraf Radwan,Male,41,2024-10-08,7,20,11300,EMP-0076,19.7,Medium,Active,,1.23,01123212812,7,1,No,2,90.0
EMP-0126,Hossam Radwan,Male,26,2025-06-28,5,17,14800,EMP-0194,24.3,Medium,Active,,0.51,01295060193,3,0,Yes,18,43.3
EMP-0127,Yasmin El-Sayed,Female,25,2024-02-27,1,1,14800,EMP-0073,8.5,Near,Inactive,2024-10-04,0.6,01023489853,2,0,No,13,65.0
EMP-0128,Mai Hafez,Female,33,2024-11-03,1,4,26100,EMP-0158,5.7,Near,Inactive,2025-08-06,0.76,01269549527,2,0,No,19,70.0
EMP-0129,Hany Rizk,Male,41,2024-03-17,1,1,17700,EMP-0193,4.9,Near,Active,,1.79,01232329103,19,0,No,16,65.0
EMP-0130,Adel Ragab,Male,45,2025-04-17,2,9,32700,EMP-0052,3.8,Near,Active,,0.71,01550193656,13,0,No,7,39.8
EMP-0131,Mahmoud Farouk,Male,39,2023-01-07,2,9,26500,,1.8,Near,Active,,2.99,01113885234,11,1,Yes,13,50.7
EMP-0132,Ahmed Radwan,Male,38,2024-05-10,7,20,7400,EMP-0073,6.5,Near,Active,,1.65,01116172803,8,0,Yes,5,45.8
EMP-0133,Youssef Barakat,Male,40,2025-03-30,1,5,34300,EMP-0194,5.1,Near,Inactive,2025-08-30,0.42,01153536830,19,0,No,21,28.7
EMP-0134,Hany Adel,Male,30,2024-09-15,6,19,28000,EMP-0029,45.1,Far,Active,,1.3,01517532195,6,1,No,15,41.4
EMP-0135,Reem El-Sayed,Female,25,2024-11-08,8,22,10900,EMP-0131,11.6,Medium,Active,,1.15,01549375156,4,1,Yes,18,56.7
EMP-0136,Khaled Abdel-Rahman,Male,47,2023-11-20,1,1,12100,EMP-0058,6.5,Near,Active,,2.12,01158112135,3,2,No,13,87.5
EMP-0137,Wael Sabry,Male,42,2025-02-03,6,18,35900,EMP-0171,12.3,Medium,Active,,0.91,01560310319,7,0,No,18,33.3
EMP-0138,Nour Rizk,Female,23,2023-10-28,3,12,23200,EMP-0004,2.9,Near,Active,,2.18,01567805802,3,0,No,2,37.1
EMP-0139,Mostafa Rizk,Male,25,2024-01-13,2,9,29300,EMP-0158,8.6,Near,Active,,1.97,01529538047,2,1,Yes,9,46.9
EMP-0140,Sara Helal,Female,23,2024-02-15,2,8,12600,EMP-0137,13.8,Medium,Active,,1.88,01142775624,2,0,No,18,66.7
EMP-0141,Rania Nabil,Female,36,2025-01-13,6,18,29800,EMP-0032,9.7,Near,Inactive,2025-05-24,0.36,01181291936,1,0,No,8,28.3
EMP-0142,Khaled Hafez,Male,23,2024-06-15,4,13,11200,EMP-0158,7.7,Near,Active,,1.55,01165304649,3,0,No,19,70.0
EMP-0143,Ayman Hafez,Male,25,2025-01-17,6,19,33300,EMP-0043,60.0,Far,Active,,0.96,01585957578,2,0,No,12,34.8
EMP-0144,Maged Abdel-Rahman,Male,27,2023-09-16,7,21,24500,EMP-0043,28.6,Far,Active,,2.3,01134166826,5,0,No,6,46.2
EMP-0145,Ashraf Shawky,Male,28,2024-04-14,4,13,12200,EMP-0032,13.7,Medium,Inactive,2025-07-25,1.28,01532814819,6,0,Yes,13,47.5
EMP-0146,Walid Soliman,Male,31,2023-02-19,8,22,11500,EMP-0133,12.0,Medium,Active,,2.87,01033497411,5,1,No,8,88.3
EMP-0147,Ayman Fathy,Male,40,2025-02-16,4,13,13400,EMP-0115,13.6,Medium,Active,,0.87,01520598952,1,0,No,18,67.5
EMP-0148,Essam Hassan,Male,40,2025-03-05,4,13,13800,EMP-0144,3.9,Near,Active,,0.83,01291804602,17,0,Yes,14,60.0
EMP-0149,Magdy El-Masry,Male,47,2024-02-18,3,11,12400,EMP-0100,7.5,Near,Active,,1.87,01161344226,18,1,No,19,51.7
EMP-0150,Ahmed El-Shafei,Male,43,2023-08-10,1,2,30600,EMP-0141,1.5,Near,Active,,2.4,01193176117,5,2,Yes,13,57.5
EMP-0151,Nada Salem,Female,33,2025-04-27,5,16,19100,EMP-0154,9.4,Near,Inactive,2025-09-04,0.36,01242323627,12,0,Yes,5,46.5
EMP-0152,Youssef Fathy,Male,24,2025-03-29,3,11,11500,EMP-0150,11.2,Medium,Active,,0.76,01576795767,2,0,No,20,80.8
EMP-0153,Omar El-Masry,Male,34,2024-02-29,2,8,19300,EMP-0032,4.4,Near,Inactive,2024-07-07,0.35,01088270025,10,0,No,3,45.8
EMP-0154,Ahmed Sherif,Male,39,2025-04-28,7,21,17100,EMP-0052,44.2,Far,Active,,0.68,01229208935,11,0,No,7,31.2
EMP-0155,Nour Salem,Female,29,2025-03-12,1,5,32600,EMP-0093,32.2,Far,Inactive,2025-10-05,0.57,01241163805,3,0,Yes,16,30.9
EMP-0156,Sameh El-Shafei,Male,42,2024-11-25,2,10,21300,EMP-0116,17.6,Medium,Active,,1.1,01571894493,9,1,No,8,45.8
EMP-0157,Amr Fathy,Male,36,2023-08-04,4,15,16900,EMP-0069,10.9,Medium,Active,,2.41,01195618110,12,1,Yes,0,47.5
EMP-0158,Amal Abdel-Rahman,Female,22,2025-06-29,6,18,26400,EMP-0043,27.5,Far,Active,,0.51,01544088261,2,0,No,19,34.6
EMP-0159,Mostafa Mansour,Male,24,2024-12-26,2,8,11200,EMP-0144,2.8,Near,Inactive,2025-09-10,0.71,01271682508,2,0,No,13,50.0
EMP-0160,Laila Barakat,Female,47,2024-02-06,7,20,8100,EMP-0158,21.3,Medium,Inactive,2025-04-07,1.17,01244269370,10,0,No,10,63.3
EMP-0161,Ashraf Rizk,Male,29,2024-05-19,5,17,11300,EMP-0100,2.7,Near,Active,,1.62,01199501846,4,0,No,20,60.8
EMP-0162,Ali El-Shafei,Male,25,2025-04-01,1,1,14100,EMP-0131,21.6,Medium,Inactive,2025-09-09,0.44,01111261301,1,0,No,2,77.5
EMP-0163,Hany Adel,Male,37,2023-07-24,1,1,18000,EMP-0155,5.2,Near,Active,,2.44,01172445234,12,0,No,8,87.5
EMP-0164,Hany Radwan,Male,44,2024-05-28,4,13,13000,,28.3,Far,Active,,1.6,01548605268,9,0,No,13,63.3
EMP-0165,Mohamed Tawfik,Male,31,2024-10-05,1,6,22800,EMP-0116,38.5,Far,Active,,1.24,01183363160,3,0,No,8,70.8
EMP-0166,Aya Mostafa,Female,33,2024-09-25,1,3,18100,EMP-0076,3.1,Near,Active,,1.27,01231203129,7,0,No,3,92.5
EMP-0167,Khaled Rizk,Male,35,2025-01-15,3,11,11900,EMP-0194,9.1,Near,Active,,0.96,01219913576,12,0,Yes,3,54.2
EMP-0168,Ramy Mansour,Male,35,2024-08-07,1,6,16700,EMP-0064,52.5,Far,Inactive,2025-03-18,0.61,01069287967,5,0,Yes,7,42.5
EMP-0169,Amr Salem,Male,23,2024-05-17,3,11,9400,EMP-0064,9.6,Near,Inactive,2024-12-28,0.62,01556381032,1,0,No,1,54.2
EMP-0170,Ayman Farouk,Male,44,2024-05-27,2,8,13600,,26.9,Far,Inactive,2025-06-26,1.08,01088862539,13,1,Yes,8,57.5
EMP-0171,Samy Ragab,Male,26,2023-03-21,3,12,26200,EMP-0133,12.6,Medium,Active,,2.79,01250151803,3,0,Yes,13,56.7
EMP-0172,Samy Farouk,Male,26,2023-01-02,2,8,15700,EMP-0131,7.1,Near,Active,,3.0,01095756900,5,2,No,21,65.0
EMP-0173,Kareem El-Sayed,Male,27,2024-02-25,4,15,20700,EMP-0155,5.4,Near,Active,,1.85,01266949781,6,0,No,8,55.0
EMP-0174,Ibrahim Helal,Male,34,2023-12-02,1,3,20200,EMP-0143,4.0,Near,Active,,2.08,01043567615,6,2,No,15,80.0
EMP-0175,Omar Gaber,Male,30,2024-01-12,4,15,19500,EMP-0182,19.7,Medium,Active,,1.97,01171315464,8,0,No,16,53.3
EMP-0176,Omar Hafez,Male,43,2024-08-29,2,8,18600,EMP-0154,7.4,Near,Active,,1.34,01050550084,12,0,No,15,65.0
EMP-0177,Noura Mansour,Female,36,2024-09-28,7,20,12000,EMP-0029,10.3,Medium,Active,,1.26,01136738452,8,0,Yes,11,81.7
EMP-0178,Ashraf Mostafa,Male,35,2025-06-17,2,10,20200,EMP-0134,9.8,Near,Active,,0.54,01161632653,6,0,No,2,42.5
